Time,Emotion
7/12/2024 1:35,sad
7/12/2024 1:35,angry
7/12/2024 1:35,angry
7/12/2024 1:35,neutral
7/12/2024 1:35,neutral
7/12/2024 1:35,neutral
7/12/2024 1:35,neutral
7/12/2024 1:35,neutral
7/12/2024 1:35,neutral
7/12/2024 1:35,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,sad
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,angry
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,angry
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,sad
7/12/2024 1:36,angry
7/12/2024 1:36,sad
7/12/2024 1:36,surprise
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,neutral
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,happy
7/12/2024 1:36,fear
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,fear
7/12/2024 1:36,angry
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,fear
7/12/2024 1:36,sad
7/12/2024 1:36,fear
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,sad
7/12/2024 1:36,fear
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,happy
7/12/2024 1:36,sad
7/12/2024 1:36,angry
7/12/2024 1:36,angry
7/12/2024 1:36,neutral
7/12/2024 1:36,surprise
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,neutral
7/12/2024 1:36,sad
7/12/2024 1:36,neutral
7/12/2024 1:36,neutral
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,fear
7/12/2024 1:36,surprise
7/12/2024 1:36,fear
7/12/2024 1:36,happy
7/12/2024 1:36,angry
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,happy
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,fear
7/12/2024 1:37,happy
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,happy
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,happy
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,surprise
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,surprise
7/12/2024 1:37,neutral
7/12/2024 1:37,happy
7/12/2024 1:37,neutral
7/12/2024 1:37,angry
7/12/2024 1:37,sad
7/12/2024 1:37,angry
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,sad
7/12/2024 1:37,angry
7/12/2024 1:37,angry
7/12/2024 1:37,happy
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,fear
7/12/2024 1:37,fear
7/12/2024 1:37,sad
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:37,sad
7/12/2024 1:37,neutral
7/12/2024 1:37,neutral
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,sad
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,fear
7/12/2024 1:38,angry
7/12/2024 1:38,neutral
7/12/2024 1:38,fear
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,neutral
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,angry
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,happy
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,happy
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,sad
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,angry
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,disgust
7/12/2024 1:38,fear
7/12/2024 1:38,fear
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,happy
7/12/2024 1:38,happy
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,fear
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,happy
7/12/2024 1:38,happy
7/12/2024 1:38,happy
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,sad
7/12/2024 1:38,sad
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:38,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,happy
7/12/2024 1:39,fear
7/12/2024 1:39,happy
7/12/2024 1:39,angry
7/12/2024 1:39,angry
7/12/2024 1:39,angry
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,disgust
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,disgust
7/12/2024 1:39,fear
7/12/2024 1:39,disgust
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
