Time,Emotion
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,angry
7/12/2024 1:39,angry
7/12/2024 1:39,neutral
7/12/2024 1:39,angry
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,angry
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,angry
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,fear
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,sad
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:39,neutral
7/12/2024 1:40,neutral
7/12/2024 1:40,neutral
7/12/2024 1:40,neutral
7/12/2024 1:40,neutral
7/12/2024 1:40,neutral
7/12/2024 1:40,neutral
2024-07-12 01:59:51,sad
2024-07-12 01:59:52,neutral
2024-07-12 01:59:53,neutral
2024-07-12 01:59:53,neutral
2024-07-12 01:59:54,neutral
2024-07-12 01:59:55,neutral
2024-07-12 01:59:55,neutral
2024-07-12 01:59:56,neutral
2024-07-12 01:59:57,neutral
2024-07-12 01:59:57,neutral
2024-07-12 01:59:58,happy
2024-07-12 01:59:59,happy
2024-07-12 01:59:59,happy
2024-07-12 02:00:00,happy
2024-07-12 02:00:00,happy
2024-07-12 02:00:01,happy
2024-07-12 02:00:02,neutral
2024-07-12 02:00:02,neutral
2024-07-12 02:00:03,neutral
2024-07-12 02:00:04,neutral
2024-07-12 02:00:04,happy
2024-07-12 02:00:05,happy
2024-07-12 02:00:05,neutral
2024-07-12 02:00:06,happy
2024-07-12 02:00:06,neutral
2024-07-12 02:00:07,happy
2024-07-12 02:00:07,happy
2024-07-12 02:00:08,happy
2024-07-12 02:00:09,happy
2024-07-12 02:00:09,happy
2024-07-12 02:00:10,happy
2024-07-12 02:00:10,happy
2024-07-12 02:00:11,neutral
2024-07-12 02:00:12,neutral
2024-07-12 02:00:12,neutral
2024-07-12 02:00:13,neutral
2024-07-12 02:00:13,neutral
2024-07-12 02:00:14,neutral
2024-07-12 02:00:14,neutral
2024-07-12 02:00:15,neutral
2024-07-12 02:00:15,neutral
2024-07-12 02:00:16,neutral
2024-07-12 02:00:16,neutral
2024-07-12 02:00:17,neutral
2024-07-12 02:00:17,neutral
2024-07-12 02:00:18,neutral
2024-07-12 02:00:19,neutral
2024-07-12 02:00:19,neutral
2024-07-12 02:00:20,neutral
2024-07-12 02:00:20,neutral
2024-07-12 02:00:21,neutral
2024-07-12 02:00:21,neutral
2024-07-12 02:00:22,neutral
2024-07-12 02:00:22,neutral
2024-07-12 02:00:23,neutral
2024-07-12 02:00:23,neutral
2024-07-12 02:00:24,neutral
2024-07-12 02:00:24,neutral
2024-07-12 02:00:25,neutral
2024-07-12 02:00:25,neutral
2024-07-12 02:00:26,neutral
2024-07-12 02:00:26,neutral
2024-07-12 02:00:27,neutral
2024-07-12 02:00:27,neutral
2024-07-12 02:00:28,neutral
2024-07-12 02:00:28,neutral
2024-07-12 02:00:29,neutral
2024-07-12 02:00:29,neutral
2024-07-12 02:00:30,neutral
2024-07-12 02:00:30,neutral
2024-07-12 02:00:31,neutral
2024-07-12 02:00:31,neutral
2024-07-12 02:00:32,neutral
2024-07-12 02:00:32,neutral
2024-07-12 02:00:33,neutral
2024-07-12 02:00:33,neutral
2024-07-12 02:00:34,happy
2024-07-12 02:00:34,sad
2024-07-12 02:00:35,sad
2024-07-12 02:00:35,sad
2024-07-12 02:00:36,fear
2024-07-12 02:00:37,angry
2024-07-12 02:00:37,angry
2024-07-12 02:00:37,fear
2024-07-12 02:00:38,sad
2024-07-12 02:00:38,fear
2024-07-12 02:00:39,sad
2024-07-12 02:00:40,neutral
2024-07-12 02:00:40,sad
2024-07-12 02:00:41,neutral
2024-07-12 02:00:41,happy
2024-07-12 02:00:42,neutral
2024-07-12 02:00:43,sad
2024-07-12 02:00:43,sad
2024-07-12 02:00:44,sad
2024-07-12 02:00:44,sad
2024-07-12 02:00:44,fear
2024-07-12 02:00:45,fear
2024-07-12 02:00:45,sad
2024-07-12 02:00:46,sad
2024-07-12 02:00:46,sad
2024-07-12 02:00:47,sad
2024-07-12 02:00:47,fear
2024-07-12 02:00:48,fear
2024-07-12 02:00:48,sad
2024-07-12 02:00:49,fear
2024-07-12 02:00:49,sad
2024-07-12 02:00:50,sad
2024-07-12 02:00:50,sad
2024-07-12 02:00:51,sad
2024-07-12 02:00:51,sad
2024-07-12 02:00:52,sad
2024-07-12 02:00:53,sad
2024-07-12 02:00:53,sad
2024-07-12 02:00:53,sad
2024-07-12 02:00:54,sad
2024-07-12 02:00:54,sad
2024-07-12 02:00:55,fear
2024-07-12 02:00:55,sad
2024-07-12 02:00:56,sad
2024-07-12 02:00:56,fear
2024-07-12 02:00:56,sad
2024-07-12 02:00:57,sad
2024-07-12 02:00:57,sad
2024-07-12 02:00:58,sad
2024-07-12 02:00:58,sad
2024-07-12 02:00:58,sad
2024-07-12 02:00:59,sad
2024-07-12 02:00:59,sad
2024-07-12 02:01:00,fear
2024-07-12 02:01:00,fear
2024-07-12 02:01:01,fear
2024-07-12 02:01:01,happy
2024-07-12 02:01:02,happy
2024-07-12 02:01:02,sad
2024-07-12 02:01:03,sad
2024-07-12 02:01:03,fear
2024-07-12 02:01:03,happy
2024-07-12 02:01:04,angry
2024-07-12 02:01:04,fear
2024-07-12 02:01:05,happy
2024-07-12 02:01:05,happy
2024-07-12 02:01:05,sad
2024-07-12 02:01:06,sad
2024-07-12 02:01:06,angry
2024-07-12 02:01:07,sad
2024-07-12 02:01:07,sad
2024-07-12 02:01:07,sad
2024-07-12 02:01:08,angry
2024-07-12 02:01:08,angry
2024-07-12 02:01:09,fear
2024-07-12 02:01:09,neutral
2024-07-12 02:01:10,neutral
2024-07-12 02:01:10,neutral
2024-07-12 02:01:10,sad
2024-07-12 02:01:11,fear
2024-07-12 02:01:11,happy
2024-07-12 02:01:11,sad
2024-07-12 02:01:12,neutral
2024-07-12 02:01:12,sad
2024-07-12 02:01:13,fear
2024-07-12 02:01:13,neutral
2024-07-12 02:01:13,happy
2024-07-12 02:01:14,neutral
2024-07-12 02:01:14,sad
2024-07-12 02:01:15,fear
2024-07-12 02:01:15,sad
2024-07-12 02:01:15,fear
2024-07-12 02:01:16,fear
2024-07-12 02:01:16,neutral
2024-07-12 02:01:16,sad
2024-07-12 02:01:17,angry
2024-07-12 02:01:17,sad
2024-07-12 02:01:18,fear
2024-07-12 02:01:18,fear
2024-07-12 02:01:18,angry
2024-07-12 02:01:19,surprise
2024-07-12 02:01:19,sad
2024-07-12 02:01:20,happy
2024-07-12 02:01:20,angry
2024-07-12 02:01:20,fear
2024-07-12 02:01:21,sad
2024-07-12 02:01:21,sad
2024-07-12 02:01:22,angry
2024-07-12 02:01:22,angry
2024-07-12 02:01:23,angry
2024-07-12 02:01:23,angry
2024-07-12 02:01:24,sad
2024-07-12 02:01:24,sad
2024-07-12 02:01:25,sad
2024-07-12 02:01:25,sad
2024-07-12 02:01:25,neutral
2024-07-12 02:01:26,neutral
2024-07-12 02:01:27,neutral
2024-07-12 02:01:27,neutral
2024-07-12 02:01:27,neutral
2024-07-12 02:01:28,neutral
2024-07-12 02:01:28,fear
2024-07-12 02:01:29,fear
2024-07-12 02:01:29,fear
2024-07-12 02:01:29,fear
2024-07-12 02:01:30,fear
2024-07-12 02:01:30,fear
2024-07-12 02:01:31,fear
2024-07-12 02:01:31,fear
2024-07-12 02:01:32,fear
2024-07-12 02:01:32,fear
2024-07-12 02:01:33,fear
2024-07-12 02:01:33,sad
2024-07-12 02:01:33,sad
2024-07-12 02:01:34,sad
2024-07-12 02:01:34,neutral
2024-07-12 02:01:35,angry
2024-07-12 02:01:35,neutral
2024-07-12 02:01:36,neutral
2024-07-12 02:01:36,angry
2024-07-12 02:01:37,neutral
2024-07-12 02:01:37,neutral
2024-07-12 02:01:38,neutral
2024-07-12 02:01:38,neutral
2024-07-12 02:01:39,neutral
2024-07-12 02:01:39,neutral
2024-07-12 02:01:40,neutral
2024-07-12 02:01:40,neutral
2024-07-12 02:01:41,neutral
2024-07-12 02:01:42,neutral
2024-07-12 02:01:42,neutral
2024-07-12 02:01:43,neutral
2024-07-12 02:01:44,neutral
2024-07-12 02:01:44,neutral
2024-07-12 02:01:45,neutral
2024-07-12 02:01:45,neutral
2024-07-12 02:01:46,neutral
2024-07-12 02:01:47,neutral
2024-07-12 02:01:47,neutral
2024-07-12 02:01:48,neutral
2024-07-12 02:01:48,neutral
2024-07-12 02:01:49,neutral
2024-07-12 02:01:49,fear
2024-07-12 02:01:50,fear
2024-07-12 02:01:50,fear
2024-07-12 02:01:51,fear
2024-07-12 02:01:51,fear
2024-07-12 02:01:51,fear
2024-07-12 02:01:52,fear
2024-07-12 02:01:52,sad
2024-07-12 02:01:53,fear
2024-07-12 02:01:54,sad
2024-07-12 02:01:54,sad
2024-07-12 02:01:55,fear
2024-07-12 02:01:55,angry
2024-07-12 02:01:56,neutral
2024-07-12 02:01:56,sad
2024-07-12 02:01:56,sad
2024-07-12 02:01:57,neutral
2024-07-12 02:01:57,sad
2024-07-12 02:01:58,neutral
2024-07-12 02:01:58,neutral
2024-07-12 02:01:59,neutral
2024-07-12 02:01:59,neutral
2024-07-12 02:02:00,neutral
2024-07-12 02:02:00,sad
2024-07-12 02:02:01,angry
2024-07-12 02:02:01,neutral
2024-07-12 02:02:02,neutral
2024-07-12 02:02:02,neutral
2024-07-12 02:02:03,neutral
2024-07-12 02:02:03,sad
2024-07-12 02:02:04,fear
2024-07-12 02:02:04,fear
2024-07-12 02:02:05,angry
2024-07-12 02:02:05,angry
2024-07-12 02:02:06,sad
2024-07-12 02:02:06,angry
2024-07-12 02:02:07,angry
2024-07-12 02:02:07,angry
2024-07-12 02:02:08,neutral
2024-07-12 02:02:09,angry
2024-07-12 02:02:09,neutral
2024-07-12 02:02:10,neutral
2024-07-12 02:02:10,neutral
2024-07-12 02:02:11,neutral
2024-07-12 02:02:11,neutral
2024-07-12 02:02:12,neutral
2024-07-12 02:02:12,neutral
2024-07-12 02:02:13,neutral
2024-07-12 02:02:13,neutral
2024-07-12 02:02:13,neutral
2024-07-12 02:02:14,happy
2024-07-12 02:02:14,happy
2024-07-12 02:02:15,happy
2024-07-12 02:02:15,happy
2024-07-12 02:02:16,happy
2024-07-12 02:02:16,happy
2024-07-12 02:02:17,happy
2024-07-12 02:02:17,happy
2024-07-12 02:02:18,happy
2024-07-12 02:02:18,happy
2024-07-12 02:02:19,happy
2024-07-12 02:02:19,happy
2024-07-12 02:02:20,happy
2024-07-12 02:02:21,neutral
2024-07-12 02:02:21,neutral
2024-07-12 02:02:22,neutral
2024-07-12 02:02:22,neutral
2024-07-12 02:02:23,neutral
2024-07-12 02:02:23,neutral
2024-07-12 02:02:24,neutral
2024-07-12 02:02:24,neutral
2024-07-12 02:02:25,happy
2024-07-12 02:02:26,neutral
2024-07-12 02:02:26,neutral
2024-07-12 02:02:26,neutral
2024-07-12 02:02:27,neutral
2024-07-12 02:02:28,neutral
2024-07-12 02:02:28,neutral
2024-07-12 02:02:29,neutral
2024-07-12 02:02:30,neutral
2024-07-12 02:02:31,neutral
2024-07-12 02:02:31,neutral
2024-07-12 02:02:32,angry
2024-07-12 02:02:33,sad
2024-07-12 02:02:33,happy
2024-07-12 02:02:34,happy
2024-07-12 02:02:35,fear
2024-07-12 02:02:35,fear
2024-07-12 02:02:36,happy
2024-07-12 02:02:36,happy
2024-07-12 02:02:37,neutral
2024-07-12 02:02:37,neutral
2024-07-12 02:02:38,fear
2024-07-12 02:02:39,angry
2024-07-12 02:02:39,surprise
2024-07-12 02:02:40,fear
2024-07-12 02:02:41,surprise
2024-07-12 02:02:41,fear
2024-07-12 02:02:42,fear
2024-07-12 02:02:43,surprise
2024-07-12 02:02:44,fear
2024-07-12 02:02:44,fear
2024-07-12 02:02:45,sad
2024-07-12 02:02:46,fear
2024-07-12 02:02:46,neutral
2024-07-12 02:02:47,happy
2024-07-12 02:02:47,angry
2024-07-12 02:02:48,neutral
2024-07-12 02:02:49,sad
2024-07-12 02:02:49,fear
2024-07-12 02:02:50,fear
2024-07-12 02:02:51,neutral
2024-07-12 02:02:51,neutral
2024-07-12 02:02:52,neutral
2024-07-12 02:02:53,fear
2024-07-12 02:02:54,neutral
